specimen.id,species,caste,digitizer,its.mm,body.length.mm,scale,x,y,notes
MY180814-011,borealis,M,JL,4.833112305,22.8615448,139.76,1076,717,its.slight.tilt
,,,,,,,1230,807,
,,,,,,,1217,830,
,,,,,,,1080,843,
,,,,,,,913,847,
,,,,,,,878,903,
MY180814-012,vagans,M,JL,4.472976104,19.16059896,140.678,1162,358.333,its.large.tilt
,,,,,,,1311.333,425,
,,,,,,,1304.667,443.667,
,,,,,,,1187.333,458.333,
,,,,,,,1008.667,461.667,
,,,,,,,989.333,509,
MY180814-013,vagans,M,JL,4.360737322,19.49385308,141.112,1020,619.667,its.large.tilt
,,,,,,,1174,695,
,,,,,,,1166.667,713.667,
,,,,,,,1053.333,721.667,
,,,,,,,868,713,
,,,,,,,846,757,
MY180814-014,ternarius,W,JL,2.78894707,13.91627159,141.338,903,1206,its.large.tilt
,,,,,,,1007.667,1273.333,
,,,,,,,1001.667,1287.333,
,,,,,,,919,1284,
,,,,,,,786.333,1264.667,
,,,,,,,768.333,1295.333,
TWM180607-003,bimaculatus,Q,JL,6.874549098,29.47377362,141.069,1201.667,482.667,its.slight.tilt
,,,,,,,1425.667,570.667,
,,,,,,,1409.667,606.667,
,,,,,,,1235,634.667,
,,,,,,,1013.667,652,
,,,,,,,967,726.667,
TWM180615-001,ternarius,Q,JL,6.234940302,29.2514507,141.032,1171,635,its.slight.tilt
,,,,,,,1360,751,
,,,,,,,1346,783,
,,,,,,,1177,786,
,,,,,,,970,770,
,,,,,,,922,832,
TWM180615-004,ternarius,W,JL,3.022991735,12.15893688,142.003,902.667,641.667,its.large.tilt
,,,,,,,1000,711,
,,,,,,,990.667,720.333,
,,,,,,,899.333,709.667,
,,,,,,,782.667,685.667,
,,,,,,,756.667,711.667,
TWM180615-009,bimaculatus,W,JL,3.302437261,15.5790531,141.583,1214.333,1252,its.large.tilt
,,,,,,,1365.667,1292.667,
,,,,,,,1363.667,1309.333,
