specimen.id,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,m13,m14,m15,digitizer,species.det,provisional.species,caste,its,body.length,scale,name,description
JL190711-004,2.44177376,1.116621424,3.198563739,0.255868416,0.095754632,2.111926655,0.361714049,0.827454941,0.265635995,0.139667391,2.373040503,0.364977571,3.00084601,0.736333594,0.551508795,DRA,terricola,terricola,W,5.257,20.198,163.13049,m01,Mentum length
FJ190718-001,2.287470082,0.974835511,3.626100463,0.227759215,0.041071078,2.506680853,0.298330794,0.745813009,0.183675404,0.120679465,2.43696209,0.316315401,3.400844448,0.476887496,0.356857738,DRA,vagans,vagans,W,3.631,19.883,122.34741,m01,Mentum length
JL190718-002,2.185057879,0.82299833,3.347018151,0.196918903,0.04693411,2.427673909,0.2757788,0.86544416,0.140329474,0.280774972,2.305422665,0.378749278,3.035579149,0.623930917,0.524540199,DRA,vagans,vagans,W,4.111,17.049,152.98511,m01,Mentum length
PF190709-007,2.538569456,1.120814396,4.145416366,0.257558097,0.130783684,2.711464409,0.365434961,0.955392741,0.258730797,NA,2.824584697,0.328575512,3.729125959,0.757040168,0.587625575,DRA,vagans,vagans,W,4.904,20.78,108.37384,m01,Mentum length
DRA190709-003,2.33174208,0.939532027,4.017416143,0.222639027,0.094316128,2.639862464,0.36592607,0.964157474,0.245830024,0.399528487,2.497921339,0.373674695,3.456346408,0.665064521,0.504690369,DRA,bimaculatus,bimaculatus,W,4.168,17.494,255.84023,m01,Mentum length
DRA190709-010,2.380168632,0.920707738,3.742027574,0.241895685,0.102027574,2.222930248,0.443344163,0.974142053,0.239262671,0.364098302,2.396985745,0.329747052,3.453704998,0.73023507,0.615149079,DRA,bimaculatus,bimaculatus,W,4.39,19.968,243.3105,m01,Mentum length
DRA190709-011,2.565360893,0.925044146,4.201682844,0.254854446,0.113074116,2.811493472,0.435911204,0.958890581,0.250067793,0.433969028,2.591732805,0.406583401,3.885704455,0.804314242,0.541341158,DRA,bimaculatus,bimaculatus,W,4.517,18.998,206.43858,m01,Mentum length
DRA190709-012,2.382953268,0.878181096,3.97152689,0.218021428,0.116779138,2.662574543,0.351678607,0.934314285,0.201816381,0.401406822,2.389455912,0.330163266,3.441026614,0.64858506,0.573265348,DRA,bimaculatus,bimaculatus,W,4.268,20.304,241.93388,m01,Mentum length
FJ190612-001,2.110582708,0.700119348,3.013920355,0.195927582,0.111924194,2.062536867,0.307439432,0.678422234,0.150047731,0.300809422,2.230104704,0.313944608,2.932853648,0.654056128,0.446160986,DRA,bimaculatus,bimaculatus,W,3.299,13.888,160.93339,m01,Mentum length
FJ190619-005,2.221579762,0.961300435,3.766422855,0.23536238,0.110376521,2.439346806,0.368572908,0.851116443,0.240323388,0.310228265,2.316338099,0.367229947,3.465228005,0.697001174,0.566840361,DRA,bimaculatus,bimaculatus,W,4.056,18.564,130.73351,m01,Mentum length
FJ190619-008,2.513067073,0.864274682,3.472624737,0.227477171,0.105908617,2.493573117,0.475349116,0.798282298,0.225477871,0.290750876,2.436001873,0.366858976,3.398168803,0.833980348,0.574858054,DRA,bimaculatus,bimaculatus,W,4.877,20.925,250.88289,m01,Mentum length
FJ190621-001,2.256030905,0.969725438,3.751009224,0.231249578,0.117336571,2.424191022,0.378182944,0.889317086,0.245734058,0.325472112,2.209744425,0.29166923,3.296476894,0.726736774,0.516232264,DRA,bimaculatus,bimaculatus,W,3.752,16.783,298.59821,m01,Mentum length
FJ190627-001,2.248119831,0.887251835,3.734299272,0.226818958,0.111402699,2.411233554,0.409338992,0.834240423,0.194344793,0.288062154,2.387893535,0.279527952,3.357854195,0.709107541,0.49132923,DRA,bimaculatus,bimaculatus,W,3.835,16.676,251.34041,m01,Mentum length
FJ190628-003,2.41943305,0.884935664,3.828838004,0.255440807,0.121208128,2.518134259,0.418495988,0.954317697,0.253859115,0.300786012,2.450816206,0.393629852,3.454891907,0.756839186,0.522839491,DRA,bimaculatus,bimaculatus,W,4.427,17.715,252.98221,m01,Mentum length
FJ190628-004,2.533284832,0.948365268,4.091096123,0.233590543,0.111862045,2.745176118,0.391977546,0.998858233,0.225592374,0.239139769,2.499134196,0.294270215,3.845183271,0.799215925,0.541678431,DRA,bimaculatus,bimaculatus,W,4.239,17.877,260.32458,m01,Mentum length
FJ190628-005,2.405369559,0.862168052,3.878909425,0.214691965,0.108431285,2.556424678,0.36324281,0.898124563,0.200222034,0.30253008,2.260114533,0.275900718,3.434503119,0.744319534,0.555672837,DRA,bimaculatus,bimaculatus,W,4.229,15.028,263.19406,m01,Mentum length
FJ190628-011,2.471568907,0.915643634,4.088873589,0.25334363,0.090044131,2.496218758,0.399146884,0.905030583,0.25334363,0.417021125,2.6379275,0.337440928,3.741182877,0.707169545,0.547906216,DRA,bimaculatus,bimaculatus,W,4.717,19.529,245.10859,m01,Mentum length
FJ190628-012,2.343423237,0.912979467,3.779401345,0.206028636,0.091140903,2.322307226,0.433278811,0.914980564,0.233003216,0.354086477,2.396655341,0.304731248,3.266873943,0.698474053,0.520175039,DRA,bimaculatus,bimaculatus,W,4.372,18.096,256.14449,m01,Mentum length
FJ190628-013,2.525066939,1.042054506,4.129065317,0.244489425,0.127971599,2.700566624,0.365861595,0.91818704,0.216697408,0.327670361,2.659343515,0.347567943,3.74716463,0.81546237,0.625676241,DRA,bimaculatus,bimaculatus,W,4.437,19.812,244.6242,m01,Mentum length
FJ190703-005,2.381477025,0.961975225,4.146261249,0.213034949,0.126218026,2.27808685,0.40212367,1.015553552,0.234596978,0.405893777,2.326400314,0.454470434,3.672109976,0.702271656,0.554132804,DRA,bimaculatus,bimaculatus,W,4.473,20.815,253.65331,m01,Mentum length
FJ190703-006,2.157157311,0.895120765,3.197284093,0.233508023,0.091693176,1.886757673,0.403234898,0.823935172,0.216669837,0.361470301,2.146521952,0.296354893,2.9270309,0.693400769,0.532608831,DRA,vagans,cf bimaculatus,W,4.143,15.406,305.71228,m01,Mentum length
FJ190705-002,2.347123308,0.87692383,3.642200474,0.223803109,0.089223268,2.520492269,0.353863773,0.888366426,0.228934295,0.305436423,2.318638355,0.307147577,3.272087387,0.63926786,0.565350806,DRA,bimaculatus,bimaculatus,W,3.905,18.241,250.50349,m01,Mentum length
FJ190705-004,2.19824165,0.738131306,3.435180714,0.212449093,0.104235099,2.075756499,0.378166538,0.854749192,0.23441455,0.381712807,2.331526637,0.245756405,3.154382427,0.639205469,0.468205655,DRA,bimaculatus,bimaculatus,W,4.088,17.261,307.14817,m01,Mentum length
FJ190709-004,2.7441868,1.097477951,4.86641082,0.266065908,0.14827031,3.278102244,0.499711818,1.096774648,0.304902669,0.45880959,2.923546796,0.339996258,3.892644232,0.801508324,0.618737178,DRA,bimaculatus,bimaculatus,W,4.471,18.188,108.00463,m01,Mentum length
FJ190709-005,2.842894025,1.082968505,4.735580382,0.269556993,0.138564182,3.209131032,0.371716105,1.079148155,0.279598464,0.441630557,3.012868147,0.367806131,4.255004747,0.769617969,0.580123808,DRA,bimaculatus,bimaculatus,W,4.561,21.146,156.20819,m01,Mentum length
FJ190709-006,2.421050312,1.098276382,4.241900169,0.248223707,0.108788236,2.760766375,0.502178131,1.013656255,0.226298143,0.383220207,2.668748824,0.428330388,3.764021214,0.818169837,0.601463303,DRA,bimaculatus,bimaculatus,W,4.114,19.547,205.54318,m01,Mentum length
FJ190709-007,2.60650875,1.085202038,4.387615422,0.250721582,0.10580992,2.970226279,0.393492303,0.991903051,0.264134241,0.359234285,2.65148929,0.378740228,3.93435573,0.798298379,0.584241015,DRA,bimaculatus,bimaculatus,W,4.36,19.92,104.3887,m01,Mentum length
FJ190709-010,2.591426136,1.067902204,4.387306464,0.242073196,0.133980689,2.782671965,0.486488993,1.00668921,0.228160829,0.355603036,2.644556124,0.375198963,4.065257291,0.741359577,0.576445591,DRA,bimaculatus,bimaculatus,W,4.504,17.962,105.55357,m01,Mentum length
FJ190709-012,2.359553212,0.893688805,3.794194389,0.229253915,0.116261721,2.606115431,0.39661514,0.876682003,0.233032057,0.368792895,2.392249165,0.280904384,3.443345506,0.667157895,0.503686094,DRA,bimaculatus,bimaculatus,W,4.192,17.878,249.81593,m01,Mentum length
FJ190710-001,2.721270841,1.057365844,4.701855802,0.283710237,0.14447039,3.094163415,0.388225718,1.051040726,0.244047053,0.401256591,2.837912644,0.580961792,4.297287667,0.846262459,0.608295062,DRA,bimaculatus,bimaculatus,W,4.471,21.839,102.45975,m01,Mentum length
FJ190716-005,2.428132679,1.10721275,4.034390835,0.253606586,0.124204339,2.407350509,0.403112898,1.08987028,0.23983131,0.422443047,2.486033399,0.450922637,3.675223251,0.753502792,0.569001467,DRA,bimaculatus,bimaculatus,W,3.842,18.6,118.35915,m01,Mentum length
FJ190716-006,2.810675039,1.145121143,4.900208132,0.272518084,0.116297612,3.246548463,0.386537407,1.117061855,0.296460663,0.482218283,2.997919239,0.627519987,4.469413284,0.846053412,0.593842879,DRA,bimaculatus,bimaculatus,W,4.977,20.382,106.66771,m01,Mentum length
FJ190716-007,2.958856284,1.255352383,5.155275213,0.271248816,0.130287267,3.687512289,0.542826399,1.133990016,0.228268503,0.398351556,3.310789474,0.549645948,4.776418644,0.922431373,0.682619656,DRA,bimaculatus,bimaculatus,W,5.675,22.727,199.62465,m01,Mentum length
FJ190716-008,2.753166595,1.018089626,4.494157712,0.279438965,0.155482017,2.855735845,0.459760444,1.124908131,0.279705809,0.472984497,2.820123842,0.440902152,4.126644535,0.858961359,0.642349721,DRA,bimaculatus,bimaculatus,W,5.141,18.325,200.5293,m01,Mentum length
FJ190716-013,2.84764264,0.988864067,4.511285131,0.251531065,0.127334057,3.073838703,0.412868205,1.089793183,0.26878943,0.382754974,2.871587409,0.382560842,4.091719139,0.842260303,0.642261199,DRA,bimaculatus,bimaculatus,W,5.453,21.583,218.76928,m01,Mentum length
FJ190724-004,2.828329523,1.065619421,4.967010788,0.301012214,0.136266315,3.228966985,0.391145417,1.080118711,0.274506424,0.436261915,3.120752998,0.468352518,4.446348111,0.860386095,0.660851945,DRA,bimaculatus,bimaculatus,W,4.994,22.591,104.31683,m01,Mentum length
FJ190814-004,2.367254488,0.879783221,3.944758904,0.220986394,0.121909613,2.630400232,0.356280047,0.856775293,0.228792449,0.36551727,2.547351987,0.350459093,3.54753008,0.741936595,0.521917403,DRA,bimaculatus,bimaculatus,W,3.51,17.335,250.3198,m01,Mentum length
FJ190814-009,2.646626822,0.967440005,4.402841992,0.264547318,0.111343467,2.917643041,0.373691567,1.028423844,0.230068603,0.371120516,2.801627673,0.430313982,3.984315554,0.881225454,0.589741175,DRA,bimaculatus,bimaculatus,W,3.616,18.726,221.81975,m01,Mentum length
FJ190827-013,2.822340373,1.118636396,4.748284198,0.237577188,0.12383706,3.230872166,0.474018757,0.983250214,0.253732536,0.431262386,3.003607164,0.346466732,4.439588526,0.784853068,0.629470262,DRA,bimaculatus,bimaculatus,W,4.783,21.404,202.0396,m01,Mentum length
JL190619-009,2.59920706,0.89744315,4.368950576,0.246099164,0.127272901,2.805757705,0.330854327,1.066732979,0.254017308,0.377523994,2.620393607,0.459634654,3.764582559,0.812997294,0.707309481,DRA,bimaculatus,bimaculatus,W,4.33,20.745,236.23717,m01,Mentum length
JL190627-001,2.148983744,0.821169453,3.564661983,0.209903338,0.122317193,2.245059332,0.372493461,0.90240174,0.210034314,0.393043171,2.407233752,0.320332186,3.360057847,0.720992017,0.480419674,DRA,bimaculatus,bimaculatus,W,3.832,13.861,254.24398,m01,Mentum length
JL190628-005,2.763637957,1.103517863,4.558199778,0.268672447,0.110373664,3.048802239,0.470426936,1.117694268,0.259057236,0.452695322,3.014727904,0.449429321,4.258023471,0.846842888,0.601212413,DRA,bimaculatus,bimaculatus,W,4.798,21.216,208.43224,m01,Mentum length
JL190703-003,2.155411373,0.922758846,4.139343983,0.215193542,0.100406898,2.608844247,0.392651482,0.897713611,0.22489946,0.404085496,2.433375939,0.280396904,3.4207592,0.699585345,0.499730119,DRA,bimaculatus,bimaculatus,W,3.778,17.016,149.80654,m01,Mentum length
JL190703-007,2.646638571,1.104806148,4.289264778,0.259204873,0.136725697,2.774445316,0.453088521,0.988370749,0.250764009,0.450830179,2.619984639,0.385051201,3.860129633,0.746577802,0.623778668,DRA,bimaculatus,bimaculatus,W,4.382,19.435,200.15133,m01,Mentum length
