specimen.ID,digitizer,species.det,provisional.species,caste,ITS,body.length,scale,name,description,value
,,,,,ITS px/mm,BL px/mm,,m06,Labial palpomere 1 length,449.8375
,,,,,160.04999,180.39956,,m07,Labial palpomere 1 width,55.96824
,,,,,176.40862,162.30835,,m08,Labial palpomere 2 length,193.24136
,,,,,176.72578,,,m09,Labial palpomere 2 width,40.35399
,,,,,,,,m10,Distal labial palpomeres length,61.63693
,,,,,,,,m11,Stipes length,563.36292
,,,,,,,,m12,Maxillary palp length,94.92921
,,,,,,,,m13,Galea length,692.34319
,,,,,,,,m14,Galea width,170.15026
,,,,,,,,m15,"Stipes width, across from palp",146.69697
OW220621-003b,DRA,griseocollis,griseocollis,W,4.393616499,17.0279235,184.04347,m01,Mentum length,587.88859
,,,,,,,185.33813,m02,Mentum width,228.44012
,,,,,ITS pixels,BL pixels,174.71246,m03,Glossa length,1370.63266
,,,,,785.7226,3009.4964,178.67164,m04,"Glossa width, at mid-point",61.65135
,,,,,,,185.35252,m05,Flabellum length,35.9011
,,,,,ITS px/mm,BL px/mm,,m06,Labial palpomere 1 length,601.65402
,,,,,172.04651,179.47702,,m07,Labial palpomere 1 width,76.77963
,,,,,161.04658,177.77514,,m08,Labial palpomere 2 length,182.56932
,,,,,198.91707,180.49931,,m09,Labial palpomere 2 width,47.29106
,,,,,175.86358,177.53873,,m10,Distal labial palpomeres length,66.42623
,,,,,186.2901,168.40428,,m11,Stipes length,652.61185
,,,,,,,,m12,Maxillary palp length,80.399
,,,,,,,,m13,Galea length,833.02928
,,,,,,,,m14,Galea width,195.10453
,,,,,,,,m15,"Stipes width, across from palp",161.59758
OW220621-004,DRA,griseocollis,griseocollis,W,4.627382001,17.49057979,304.10524,m01,Mentum length,616.26293
,,,,,,,334.02395,m02,Mentum width,270.18512
,,,,,ITS pixels,BL pixels,324.02469,m03,Glossa length,1314.31949
,,,,,851.58675,3175.01086,316.22777,m04,"Glossa width, at mid-point",52.15362
,,,,,,,,m05,Flabellum length,17.29483
,,,,,ITS px/mm,BL px/mm,,m06,Labial palpomere 1 length,872.93019
,,,,,174.01149,174.01149,,m07,Labial palpomere 1 width,125.99118
,,,,,196.04081,189.042325,,m08,Labial palpomere 2 length,242.72527
,,,,,182.04395,,,m09,Labial palpomere 2 width,68.05227
,,,,,,,,m10,Distal labial palpomeres length,98.41351
,,,,,,,,m11,Stipes length,647.59555
,,,,,,,,m12,Maxillary palp length,130.29198
,,,,,,,,m13,Galea length,1061.62517
,,,,,,,,m14,Galea width,210.52316
,,,,,,,,m15,"Stipes width, across from palp",187.20043
OW220621-005,DRA,griseocollis,griseocollis,W,5.454621711,19.76318981,203.02217,m01,Mentum length,422.99173
,,,,,,,181.00767,m02,Mentum width,166.79995
,,,,,ITS pixels,BL pixels,200.01778,m03,Glossa length,1268.8031
,,,,,934.63843,3242.12698,193.33333,m04,"Glossa width, at mid-point",58.80287
,,,,,,,,m05,Flabellum length,31.10064
,,,,,ITS px/mm,BL px/mm,,m06,Labial palpomere 1 length,565.33333
,,,,,168,164.04877,,m07,Labial palpomere 1 width,71.21798
,,,,,164,,,m08,Labial palpomere 2 length,149.54747
,,,,,182.04395,,,m09,Labial palpomere 2 width,38.75851
,,,,,,,,m10,Distal labial palpomeres length,63.56226
,,,,,,,,m11,Stipes length,572.41632
,,,,,,,,m12,Maxillary palp length,100.71743
,,,,,,,,m13,Galea length,724.38309
,,,,,,,,m14,Galea width,129.66281
,,,,,,,,m15,"Stipes width, across from palp",108.45993
OW220629-001,DRA,griseocollis,griseocollis,W,3.924548376,16.72829313,252.0972,m01,Mentum length,617.02026
,,,,,,,241.4254,m02,Mentum width,205.33766
,,,,,ITS pixels,BL pixels,254.67016,m03,Glossa length,1429.15437
,,,,,702.60231,2984.93505,,m04,"Glossa width, at mid-point",73.44234
,,,,,,,,m05,Flabellum length,21.0238
,,,,,ITS px/mm,BL px/mm,,m06,Labial palpomere 1 length,672.18119
,,,,,182,178.436319,,m07,Labial palpomere 1 width,81.4098
,,,,,176,,,m08,Labial palpomere 2 length,175.76247
,,,,,182.09887,,,m09,Labial palpomere 2 width,56.85068
,,,,,176.01136,,,m10,Distal labial palpomeres length,NA
,,,,,,,,m11,Stipes length,620.3225
,,,,,,,,m12,Maxillary palp length,92.13034
,,,,,,,,m13,Galea length,839.3152
,,,,,,,,m14,Galea width,141.24093
,,,,,,,,m15,"Stipes width, across from palp",112.4322
OW220629-011,DRA,perplexus,cf perplexus,W,4.102015417,15.50079606,236.30489,m01,Mentum length,604.43693
,,,,,,,260,m02,Mentum width,195.0282
,,,,,,BL pixels,244,m03,Glossa length,1398.43674
,,,,,,2780.39041,248.29015,m04,"Glossa width, at mid-point",64.03124
,,,,,,,244.2949,m05,Flabellum length,23.34286
,,,,,,BL px/mm,,m06,Labial palpomere 1 length,612.83929
,,,,,,179.3708142,,m07,Labial palpomere 1 width,83.76157
,,,,,,,,m08,Labial palpomere 2 length,234.00855
,,,,,,,,m09,Labial palpomere 2 width,51.31277
,,,,,,,,m10,Distal labial palpomeres length,103.31021
,,,,,,,,m11,Stipes length,617.21237
