specimen_id,species,caste,investigator,LM,scale,measurement,scale1,body,scale2,its,notes
,,,,12,,95.195,,,,,
,,,,13,,872.992,,,,,
,,,,14,,197.649,,,,,
,,,,15,,171.172,,,,,
JL190628-002,terri,W,JL,1,301.709,655.915,71.169,1092.841,69.276,270.681,
,,,,2,,208.096,,,,,
,,,,3,,919.939,,,,,
,,,,4,,69.376,,,,,
,,,,5,,35.903,,,,,
,,,,6,,607.937,,,,,
,,,,7,,112.45,,,,,
,,,,8,,232.25,,,,,
,,,,9,,65.307,,,,,
,,,,10,,102.314,,,,,
,,,,11,,636.84,,,,,
,,,,12,,79.31,,,,,
,,,,13,,931.934,,,,,
,,,,14,,211.256,,,,,
,,,,15,,147.031,,,,,
JL190619-008,terri,W,JL,1,303.292,670.126,68.849,1305.299,69.561,273.748,
,,,,2,,235.172,,,,,
,,,,3,,910.614,,,,,
,,,,4,,72.25,,,,,
,,,,5,,30.15,,,,,
,,,,6,,509.547,,,,,
,,,,7,,106.532,,,,,
,,,,8,,236.696,,,,,
,,,,9,,76.688,,,,,
,,,,10,,94.644,,,,,
,,,,11,,611.923,,,,,
,,,,12,,110.303,,,,,
,,,,13,,852.96,,,,,
,,,,14,,208.691,,,,,
,,,,15,,138.924,,,,,
FJ190628-001,terri,W,JL,1,312.21,706.785,69.678,1172.308,70.23,344.244,
,,,,2,,222.122,,,,,
,,,,3,,878.798,,,,,
,,,,4,,84.095,,,,,
,,,,5,,32.757,,,,,
,,,,6,,510.807,,,,,
,,,,7,,121.05,,,,,
,,,,8,,232.829,,,,,
,,,,9,,77.878,,,,,
,,,,10,,105.425,,,,,
,,,,11,,620.906,,,,,
,,,,12,,85.095,,,,,
,,,,13,,884.598,,,,,
,,,,14,,233,,,,,
,,,,15,,142.79,,,,,
FJ190619-009,terri,W,JL,1,304.862,687.968,70.336,1279.61,67.524,330.055,
,,,,2,,236.358,,,,,
,,,,3,,939.506,,,,,
,,,,4,,76.105,,,,,
,,,,5,,31.016,,,,,
,,,,6,,549.242,,,,,
,,,,7,,128.098,,,,,
,,,,8,,261.301,,,,,
,,,,9,,71.568,,,,,
,,,,10,,96.197,,,,,
,,,,11,,627.376,,,,,
,,,,12,,88.934,,,,,
,,,,13,,914.368,,,,,
,,,,14,,235.281,,,,,
,,,,15,,140.161,,,,,
JL190809-007,tern,W,JL,1,349.307,692.765,140.375,1885.739,137.233,466.21,
,,,,2,,219.572,,,,,
,,,,3,,923.621,,,,,
,,,,4,,76.217,,,,,
,,,,5,,24.187,,,,,
,,,,6,,622.084,,,,,
