specimen.id,species,caste,digitizer,its.mm,body.length.mm,scale,x,y,notes
,,,,,,,1924.333,258,
,,,,,,,2000.333,234,
,,,,,,,2069.667,291.333,
,,,,,,,2080.333,352.667,
,,,,,,,2052.333,362,
,,,,,,,1896.333,352.667,
,,,,,,,1789.667,370,
,,,,,,,1724.333,316.667,
,,,,,,,1613.667,308.667,
,,,,,,,1316.333,490,
,,,,,,,1665.667,462,
,,,,,,,1687,532.667,
,,,,,,,1697.667,556.667,
,,,,,,,1977.667,492.667,
,,,,,,,1683,622,
,,,,,,,1344.333,564.667,
,,,,,,,1713.667,651.333,
FJ190814-003,bimaculatus,M,JL,,23.319,141.463,1904.333,536,
,,,,,,,1420.333,545.333,
,,,,,,,1473.667,592,
,,,,,,,1563,604,
,,,,,,,1643,592,
,,,,,,,1721.667,660,
,,,,,,,1713.667,721.333,
,,,,,,,1684.333,728,
,,,,,,,1529.667,689.333,
,,,,,,,1420.333,692,
,,,,,,,1353.667,629.333,
,,,,,,,1247,605.333,
,,,,,,,933.667,736,
,,,,,,,1273.667,761.333,
,,,,,,,1279,829.333,
,,,,,,,1288.333,853.333,
,,,,,,,1577.667,837.333,
,,,,,,,1273.667,914.667,
,,,,,,,945.667,818.667,
,,,,,,,1309.667,948,
FJ190814-004,bimaculatus,W,JL,3.51,17.335,203.223,1990.667,164,its.large.tilt
,,,,,,,1469.333,186.667,
,,,,,,,1533.333,240,
,,,,,,,1612,253.333,
,,,,,,,1717.333,233.333,
,,,,,,,1793.333,308,
,,,,,,,1785.333,377.333,
,,,,,,,1753.333,385.333,
,,,,,,,1581.333,345.333,
,,,,,,,1457.333,356,
,,,,,,,1393.333,289.333,
,,,,,,,1273.333,264,
,,,,,,,941.333,410.667,
,,,,,,,1294.667,432,
,,,,,,,1312,521.333,
,,,,,,,1320,544,
,,,,,,,1652,517.333,
,,,,,,,1302.667,613.333,
,,,,,,,948,502.667,
,,,,,,,1341.333,658.667,
FJ190814-005,bimaculatus,M,JL,4.956,20.185,141.905,2128,228,
,,,,,,,1673.333,322.667,
,,,,,,,1741.333,360,
,,,,,,,1829.333,356,
,,,,,,,1920,325.333,
,,,,,,,1990.667,380,
,,,,,,,2000,442.667,
,,,,,,,1973.333,454.667,
,,,,,,,1813.333,441.333,
,,,,,,,1713.333,462.667,
,,,,,,,1634.667,414.667,
,,,,,,,1521.333,417.333,
,,,,,,,1245.333,605.333,
,,,,,,,1582.667,557.333,
,,,,,,,1610.667,626.667,
,,,,,,,1621.333,652,
,,,,,,,1897.333,580,
,,,,,,,1600,721.333,
,,,,,,,1265.333,674.667,
,,,,,,,1644,745.333,
FJ190814-007,impatiens,W,JL,4.78,17.611,141.692,2193,383,its.large.tilt
,,,,,,,1814,452,
,,,,,,,1864,484,
,,,,,,,1939,483,
,,,,,,,2022,458,
,,,,,,,2070,503,
,,,,,,,2072,553,
,,,,,,,2052,560,
,,,,,,,1925,551,
,,,,,,,1829,567,
,,,,,,,1780,529,
,,,,,,,1684,529,
,,,,,,,1448,670,
,,,,,,,1722,642,
,,,,,,,1738,695,
,,,,,,,1750,714,
,,,,,,,1993,660,
,,,,,,,1747,769,
,,,,,,,1458,728,
,,,,,,,1775,789,
FJ190814-009,bimaculatus,W,JL,3.616,18.726,141.799,2056.333,232,its.large.tilt
,,,,,,,1623,272,
,,,,,,,1675,316,
,,,,,,,1755,322.667,
,,,,,,,1849.667,298.667,
,,,,,,,1909.667,358.667,
,,,,,,,1904.333,421.333,
,,,,,,,1869.667,428,
,,,,,,,1733.667,401.333,
,,,,,,,1624.333,409.333,
,,,,,,,1568.333,353.333,
,,,,,,,1472.333,333.333,
,,,,,,,1196.333,465.333,
,,,,,,,1504.333,474.667,
,,,,,,,1521.667,541.333,
,,,,,,,1531,568,
,,,,,,,1789.667,534.667,
,,,,,,,1524.333,625.333,
,,,,,,,1216.333,545.333,
,,,,,,,1548.333,652,
FJ190822-001,impatiens,W,JL,4.743933079,14.44409535,142.673,1714,138,
,,,,,,,1319.333,256.667,
,,,,,,,1372.667,283.333,
,,,,,,,1460.667,271.333,
,,,,,,,1550,232.667,
,,,,,,,1603.333,286,
,,,,,,,1603.333,339.333,
,,,,,,,1582,350,
,,,,,,,1447.333,348.667,
,,,,,,,1340.667,376.667,
,,,,,,,1287.333,344.667,
,,,,,,,1190,344.667,
,,,,,,,958,522,
,,,,,,,1236.667,472.667,
,,,,,,,1258,528.667,
,,,,,,,1268.667,547.333,
,,,,,,,1514,468.667,
,,,,,,,1268.667,606,
,,,,,,,971.333,586,
,,,,,,,1302,626,
FJ190822-002,impatiens,W,JL,5.09,23.187,142.673,2214,479.333,its.large.tilt
,,,,,,,1732.667,494,
,,,,,,,1788.667,543.333,
,,,,,,,1884.667,555.333,
,,,,,,,1984.667,542,
,,,,,,,2042,611.333,
,,,,,,,2030,670,
,,,,,,,1992.667,678,
,,,,,,,1850,636.667,
,,,,,,,1722,639.333,
,,,,,,,1667.333,583.333,
,,,,,,,1559.333,560.667,
,,,,,,,1256.667,687.333,
,,,,,,,1586,720.667,
,,,,,,,1592.667,786,
,,,,,,,1603.333,811.333,
,,,,,,,1898,788.667,
,,,,,,,1592.667,884.667,
,,,,,,,1254,765.333,
