specimen_id,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,m13,m14,m15,species,caste,investigator,scale,scale1,body,scale2,its,notes
FJ190716-003,2.379887876,0.725436266,3.444700632,0.239510305,0.102628324,2.141637699,0.383223511,0.918684628,0.199845507,0.348638242,2.187876234,0.33620471,3.382400331,0.695879808,0.488836351,vag,W,JL,256.323,68.98,1141.602,69.453,282.899,
FJ190716-004,2.161719994,0.578305171,3.210463607,0.217038404,0.097186854,2.119267494,0.331403169,0.740552483,0.200524649,0.298265522,2.068160959,0.198612284,3.169095782,0.610034409,0.444182639,bim,W,JL,299.629,68.949,1111.299,68.8,215.002,
FJ190716-004,2.116914546,0.643185574,3.160163732,0.207547692,0.104634681,2.043885305,0.304936146,0.729345143,0.183720882,0.263712861,1.979056469,0.260926383,2.903489667,0.60916703,0.476840424,imp,W,JL,144.627,69.57,1117.588,68.8,215.002,its.large.tiltfur.yes
FJ190716-005,2.569999185,0.846587295,3.728361739,0.262089211,0.130726576,2.325377151,0.377762375,0.981921226,0.227456577,0.325956128,2.294463019,0.31825002,3.589146212,0.736989317,0.580657262,bim,W,JL,122.63,69.48,1292.324,67.829,260.599,its.large.tilt; fur.yes
FJ190716-006,2.994371571,0.774607851,4.763539866,0.265093351,0.104305371,3.154696811,0.349415909,1.039153469,0.224476112,0.389145442,2.821401252,0.448687802,4.599049966,0.842337876,0.621063169,bim,W,JL,105.891,68.242,1390.88,67.042,333.654,its.no.tilt
FJ190716-007,2.988924817,0.927262855,4.935711106,0.291261661,0.127565172,3.420945011,0.486094873,1.09944673,0.329501372,0.371659467,3.031987907,0.536686544,4.658694557,0.876788588,0.683075614,bim,W,JL,204.421,70.007,1591.031,68.455,388.5,
FJ190716-008,2.777748344,0.74272366,4.222612884,0.27079109,0.120794702,2.672785069,0.43079109,0.998473209,0.25472366,0.362114389,2.616645394,0.322649007,4.178933173,0.800924744,0.546822396,bim,W,,207.625,69.406,1539.159,68.173,344.42,
FJ190716-009,2.407306397,0.783823466,3.636507517,0.270149625,0.135116254,2.367703766,0.399392975,0.746959943,0.223442674,NA,2.268148575,0.293542569,3.426752497,0.737815106,0.543247542,imp,W,JL,253.367,69.642,1276.181,66.685,342.841,
FJ190716-010,2.574879926,0.759023139,3.794603326,0.239095574,0.099023764,2.42839766,0.381377212,0.916785306,0.227557534,0.346739624,2.416918287,0.238121685,3.823792613,0.708779862,0.485051393,vag,W,JL,255.676,68.132,1446.867,68.602,313.439,
FJ190716-011,2.132030231,0.625055473,2.755469521,0.239668682,0.086171037,1.841789592,0.313718347,0.686788366,0.219532632,0.278182192,1.946053268,0.326210647,2.862902638,0.698869997,0.453832805,tern,W,JL,301.946,68.706,1126.408,68.007,274.765,
FJ190716-013,2.922899512,0.716392417,4.430930622,0.274779527,0.128931636,2.976219509,0.409556953,1.008216075,0.264887354,0.349066729,2.723051137,0.339215659,4.216001936,0.845689415,0.592393166,bim,W,JL,218.961,68.029,1468.277,68.007,370.864,
FJ190719-012,2.384109113,0.719067177,3.646210011,0.236691372,0.098664023,2.490231947,0.377846229,0.808321138,0.216403877,0.297793828,2.131823475,0.240495523,3.504630285,0.640706384,0.507970228,bim,W,JL,254.196,NA,NA,NA,NA,
